"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"fkf7vg","6349","3","Shinya Kougami","Psycho-Pass","0","Sat, 09 Apr 2022 15:21:02 GMT","1649517662990","15","","","","No","No","watchlist","","89","0","0","","385849280939950080","386931476291256332","6","F","S","S","F","C","F","D","",""
"fhls9h","6520","3","Emilico","Shadows House","3","Sat, 09 Apr 2022 15:07:06 GMT","1649516826711","134","","","","No","No","fav","","99","0","3","236182912716767232","236182912716767232","386931476291256332","65","F","S","F","F","A","F","D","",""
"fk3hc9","17396","2","Labyrinth Tank","Yu-Gi-Oh! Duel Monsters","0","Sat, 09 Apr 2022 14:38:00 GMT","1649515080276","4","","","","No","No","","","1","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","F","F","D","",""
"fkz87p","33799","1","Edward Uranus III","Appleseed Movie","2","Sat, 09 Apr 2022 12:42:55 GMT","1649508175168","1","","","","No","No","","","0","0","2","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","B","F","D","",""
"fkz84f","34231","1","Yakumo Koizumi","Meiji Tokyo Renka Movie: Yumihari no Serenade","3","Sat, 09 Apr 2022 11:02:58 GMT","1649502178958","4","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"fw7skk","269","4","Botanmaru","Kamisama Kiss 2nd Season","2","Sat, 09 Apr 2022 00:34:35 GMT","1649464475433","73","","","","No","No","","","1","0","2","385849280939950080","385849280939950080","386931476291256332","40","F","S","S","S","A","F","D","",""
"fwlw41","33823","1","Aoi Kusunoki","Haru no Ashioto the Movie: Ourin Dakkan","3","Fri, 08 Apr 2022 20:23:34 GMT","1649449414999","10","","","","No","No","burn","","1","0","3","385849280939950080","385849280939950080","386931476291256332","5","F","S","S","S","A","F","D","",""
"fw36qh","33850","1","Lot Chrisbard","The Good Witch of the West","1","Fri, 08 Apr 2022 19:43:13 GMT","1649446993013","1","","","","No","No","burn","","0","0","1","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"fw4blr","33740","1","Akira Tachibana","After the Rain","4","Fri, 08 Apr 2022 18:03:04 GMT","1649440984397","64","","","","No","No","fav","","15","0","4","385849280939950080","385849280939950080","386931476291256332","33","F","S","S","S","F","F","D","",""
"fw4blp","7174","1","Wana Naganawa","Pretty Boy Detective Club","3","Fri, 08 Apr 2022 18:02:52 GMT","1649440972284","37","","","","No","No","nice","","2","0","3","385849280939950080","385849280939950080","386931476291256332","19","F","S","S","S","B","F","D","",""
