"code","number","edition","character","series","quality","obtainedDate","obtainedTimestamp","burnValue","dye.code","dye.name","frame","morphed","trimmed","tag","alias","wishlists","fights","dropQuality","dropper","grabber","guild","worker.effort","worker.style","worker.purity","worker.grabber","worker.dropper","worker.quickness","worker.toughness","worker.vanity","worker.recoveryDate","worker.recoveryTimestamp"
"thmsm1","20736","2","Miki Hadano","Murenase! Seton Gakuen","0","Tue, 21 Jun 2022 19:51:42 GMT","1655841102257","5","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","S","F","D","",""
"tqc1t2","10111","3","Kirisame","B: The Beginning","1","Tue, 21 Jun 2022 18:12:51 GMT","1655835171534","16","","","","No","No","burn","","1","0","1","385849280939950080","385849280939950080","386931476291256332","8","F","S","S","S","S","F","D","",""
"tq7b79","2655","3","Mikoto Urabe","Mysterious Girlfriend X OVA","2","Tue, 21 Jun 2022 15:12:26 GMT","1655824346836","71","","","","No","No","burn","","178","0","2","385849280939950080","385849280939950080","386931476291256332","39","F","S","S","S","A","F","D","",""
"tq9gb7","38481","1","Mikoto Uchiha","Naruto","2","Tue, 21 Jun 2022 12:11:18 GMT","1655813478522","27","","","","No","No","piwnica","","1","0","2","385849280939950080","385849280939950080","386931476291256332","15","F","S","S","S","A","F","D","",""
"tq30wd","14148","2","MAICA","BLACKSTAR -Theater Starless-","0","Tue, 21 Jun 2022 09:59:49 GMT","1655805589100","5","","","","No","No","burn","","3","0","0","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","S","F","D","",""
"tq3hkd","38356","1","Mai Tanaka","Poco's Udon World","3","Tue, 21 Jun 2022 09:11:00 GMT","1655802660107","3","","","","No","No","","","0","0","3","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"tq0dbw","1220","1","Lauren Iroas","Nijisanji","1","Mon, 20 Jun 2022 22:14:42 GMT","1655763282712","21","","","","No","No","burn","","6","0","1","385849280939950080","385849280939950080","386931476291256332","13","F","S","S","S","A","F","D","",""
"tq0gb1","38512","1","Titania","The Ancient Magus' Bride","4","Mon, 20 Jun 2022 21:17:43 GMT","1655759863660","60","","","","No","No","nice","","8","0","4","375767369458647040","385849280939950080","386931476291256332","31","F","S","S","F","A","F","D","",""
"tqvw8r","38431","1","Mitsuya Takanashi","Real Girl","2","Mon, 20 Jun 2022 20:49:20 GMT","1655758160570","4","","","","No","No","burn","","2","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","A","F","D","",""
"tqm0x0","30135","1","Umi Tryon","Gundam Build Fighters Try","0","Mon, 20 Jun 2022 20:01:13 GMT","1655755273849","1","","","","No","No","burn","","1","0","0","385849280939950080","385849280939950080","386931476291256332","0","F","S","S","S","A","F","D","",""
"t06305","9057","3","Kanoka Amanai","Haikyuu!! To the Top","3","Mon, 20 Jun 2022 18:43:44 GMT","1655750624097","101","","","","No","No","burn","","6","0","3","385849280939950080","385849280939950080","386931476291256332","56","F","S","S","S","A","F","D","",""
"t0xhvn","38713","1","Misuzu","From the New World","2","Mon, 20 Jun 2022 17:58:06 GMT","1655747886301","3","","","","No","No","burn","","1","0","2","385849280939950080","385849280939950080","386931476291256332","1","F","S","S","S","S","F","D","",""
